formula_length,num_measurements,ldba_mean_seconds,ldba_std_seconds,boolean_generation_mean_seconds,boolean_generation_std_seconds
2,99,0.3541174225871936,0.02608261607677831,0.003022673545990873,0.009532127434561284
4,99,0.37353411438343387,0.027670261152757565,0.003177886687082737,0.008654020075674975
8,99,0.3987086727671946,0.025845385045934532,0.006287584646318033,0.009963185738671916
12,99,0.4209644868787651,0.025354290509306487,0.012818043363619257,0.010163956703269087
