formula_length,formula_file,formula_index,repetition,ldba_seconds,boolean_generation_seconds
2,conf/formulas/warehouse/reach-2.yaml,1,27,0.31807907900656573,0.0022867250081617385
2,conf/formulas/warehouse/reach-2.yaml,1,28,0.33406921100686304,0.001945771015016362
2,conf/formulas/warehouse/reach-2.yaml,1,29,0.35713223001221195,0.0019314270175527781
2,conf/formulas/warehouse/reach-2.yaml,1,30,0.3644958189979661,0.0021539849985856563
2,conf/formulas/warehouse/reach-2.yaml,1,31,0.3800317819986958,0.002121944009559229
2,conf/formulas/warehouse/reach-2.yaml,1,32,0.3252291420067195,0.002104719984345138
2,conf/formulas/warehouse/reach-2.yaml,2,0,0.3462132760032546,0.0027052319783251733
2,conf/formulas/warehouse/reach-2.yaml,2,1,0.34682543799863197,0.001978100015548989
2,conf/formulas/warehouse/reach-2.yaml,2,2,0.3553970910143107,0.0017270570097025484
2,conf/formulas/warehouse/reach-2.yaml,2,3,0.34838725699228235,0.002135506976628676
2,conf/formulas/warehouse/reach-2.yaml,2,4,0.4134852739807684,0.002296988997841254
2,conf/formulas/warehouse/reach-2.yaml,2,5,0.37259609199827537,0.0021656230092048645
2,conf/formulas/warehouse/reach-2.yaml,2,6,0.3337306519970298,0.0021644549851771444
2,conf/formulas/warehouse/reach-2.yaml,2,7,0.35196888801874593,0.0022037639864720404
2,conf/formulas/warehouse/reach-2.yaml,2,8,0.3324509450176265,0.0020160390122327954
2,conf/formulas/warehouse/reach-2.yaml,2,9,0.30795848701382056,0.0021499379945453256
2,conf/formulas/warehouse/reach-2.yaml,2,10,0.3084554380038753,0.0022472779965028167
2,conf/formulas/warehouse/reach-2.yaml,2,11,0.33874295800342225,0.001584860001457855
2,conf/formulas/warehouse/reach-2.yaml,2,12,0.3411876489990391,0.0021621469932142645
2,conf/formulas/warehouse/reach-2.yaml,2,13,0.41825059699476697,0.0022122719965409487
2,conf/formulas/warehouse/reach-2.yaml,2,14,0.3687368050159421,0.001841847028117627
2,conf/formulas/warehouse/reach-2.yaml,2,15,0.3597706830187235,0.00197891698917374
2,conf/formulas/warehouse/reach-2.yaml,2,16,0.3499437360151205,0.001845107995904982
2,conf/formulas/warehouse/reach-2.yaml,2,17,0.3521651430055499,0.002138532989192754
2,conf/formulas/warehouse/reach-2.yaml,2,18,0.35040856499108486,0.0019023040076717734
2,conf/formulas/warehouse/reach-2.yaml,2,19,0.3442101289983839,0.0022979630157351494
2,conf/formulas/warehouse/reach-2.yaml,2,20,0.3254080390033778,0.0022042799973860383
2,conf/formulas/warehouse/reach-2.yaml,2,21,0.31602777499938384,0.001494764001108706
2,conf/formulas/warehouse/reach-2.yaml,2,22,0.3450312770146411,0.0024236080062109977
2,conf/formulas/warehouse/reach-2.yaml,2,23,0.4307768610015046,0.0021275879989843816
2,conf/formulas/warehouse/reach-2.yaml,2,24,0.357431688986253,0.0018852540233638138
2,conf/formulas/warehouse/reach-2.yaml,2,25,0.35077251598704606,0.001765888009686023
2,conf/formulas/warehouse/reach-2.yaml,2,26,0.4193105029989965,0.002249895012937486
2,conf/formulas/warehouse/reach-2.yaml,2,27,0.3705795499845408,0.002183206001063809
2,conf/formulas/warehouse/reach-2.yaml,2,28,0.33926328498637304,0.001181450003059581
2,conf/formulas/warehouse/reach-2.yaml,2,29,0.3446589130035136,0.0021106830099597573
2,conf/formulas/warehouse/reach-2.yaml,2,30,0.36368249999941327,0.001980747008929029
2,conf/formulas/warehouse/reach-2.yaml,2,31,0.38368971899035387,0.0020976370142307132
2,conf/formulas/warehouse/reach-2.yaml,2,32,0.3349864610063378,0.0018604059878271073
4,conf/formulas/warehouse/reach-4.yaml,0,0,0.3769318689883221,0.08810074799112044
4,conf/formulas/warehouse/reach-4.yaml,0,1,0.3706127750047017,0.0034823270107153803
4,conf/formulas/warehouse/reach-4.yaml,0,2,0.35446081799454987,0.0017210869991686195
4,conf/formulas/warehouse/reach-4.yaml,0,3,0.3961810129985679,0.001770033995853737
4,conf/formulas/warehouse/reach-4.yaml,0,4,0.35382269899128005,0.002706669009057805
4,conf/formulas/warehouse/reach-4.yaml,0,5,0.3527589119912591,0.001717164006549865
4,conf/formulas/warehouse/reach-4.yaml,0,6,0.36463160399580374,0.0020665639895014465
4,conf/formulas/warehouse/reach-4.yaml,0,7,0.34198315898538567,0.001691792014753446
4,conf/formulas/warehouse/reach-4.yaml,0,8,0.3783247019746341,0.003455665020737797
4,conf/formulas/warehouse/reach-4.yaml,0,9,0.4013316349883098,0.002443884004605934
4,conf/formulas/warehouse/reach-4.yaml,0,10,0.33796787599567324,0.0017696020076982677
4,conf/formulas/warehouse/reach-4.yaml,0,11,0.43682696399628185,0.0031998899939935654
4,conf/formulas/warehouse/reach-4.yaml,0,12,0.45169674599310383,0.0025456070143263787
4,conf/formulas/warehouse/reach-4.yaml,0,13,0.36278707897872664,0.0023701910104136914
4,conf/formulas/warehouse/reach-4.yaml,0,14,0.3949272579920944,0.002289608004502952
4,conf/formulas/warehouse/reach-4.yaml,0,15,0.42127271101344377,0.0018761739775072783
