formula,method,metric,mean,ci_lower,ci_upper
F (vase & crate & region_b & (region_b U (!vase & !crate & region_b))),ltl2action,return,0.625,0.30775669642857145,0.9026227678571429
F (vase & crate & region_b & (region_b U (!vase & !crate & region_b))),ltl2action,length,304.3236192975725,225.78418622698103,405.9339272635324
F (vase & crate & region_b & (region_b U (!vase & !crate & region_b))),struct_ltl,return,0.9703125,0.94296875,0.9884765625
F (vase & crate & region_b & (region_b U (!vase & !crate & region_b))),struct_ltl,length,193.25783081054686,183.2267444229126,208.5633966064453
F (vase & region_a & (region_a U (!vase & region_a))),deep_ltl,return,0.9123046875,0.85,0.9671875
F (vase & region_a & (region_a U (!vase & region_a))),deep_ltl,length,185.75047149658204,158.1381527709961,216.5465357208252
F (vase & region_a & (region_a U (!vase & region_a))),ltl2action,return,0.42466517857142855,0.14227818080357163,0.7466517857142857
F (vase & region_a & (region_a U (!vase & region_a))),ltl2action,length,331.32759966169084,211.63954162597656,467.5390886579241
F (vase & region_a & (region_a U (!vase & region_a))),struct_ltl,return,0.994921875,0.992578125,0.9970703125
F (vase & region_a & (region_a U (!vase & region_a))),struct_ltl,length,126.82010421752929,123.54289398193359,130.23077501296996
